OContractID,OwnerID,DateOfCommencement,DateOfExpiration,Duration,Owner Revenue
1,21,2025-04-02,2026-01-20,293,7097.29
2,100,2025-10-22,2026-05-16,206,4479.88
3,6,2025-03-01,2025-09-24,207,3892.5
4,75,2025-10-03,2026-03-05,153,7839.27
5,75,2025-07-11,2025-12-11,153,13543.4
6,29,2025-07-01,2026-06-25,359,1121.04
7,44,2025-01-02,2025-04-05,93,14004.65
8,96,2025-11-12,2026-02-12,92,3114.75
9,17,2025-05-21,2025-12-13,206,14655.29
10,35,2025-06-28,2026-06-03,340,12214.66
11,72,2025-01-03,2025-11-18,319,9251.73
12,86,2025-08-12,2026-04-07,238,7491.18
13,39,2025-07-19,2026-04-21,276,13761.4
14,93,2025-10-08,2025-11-17,40,1025.29
15,3,2025-08-02,2026-03-15,225,5548.57
16,83,2025-11-10,2026-05-27,198,3561.46
17,50,2025-03-04,2025-06-22,110,6025.43
18,10,2025-10-12,2025-11-16,35,9551.58
19,50,2025-05-21,2025-08-26,97,11316.4
20,95,2025-09-04,2026-07-15,314,9949.77
21,90,2025-02-21,2025-09-02,193,4786.09
22,75,2025-09-14,2026-02-03,142,11375.86
23,88,2025-02-22,2025-08-05,164,4148.74
24,96,2025-12-27,2026-05-13,137,8856.36
25,90,2025-10-11,2026-03-23,163,5154.45
26,82,2025-08-23,2025-11-15,84,6935.38
27,82,2025-02-27,2025-11-01,247,11719.82
28,63,2025-10-05,2026-07-31,299,9571.26
29,58,2025-01-16,2026-01-10,359,13779.56
30,58,2025-11-14,2026-10-20,340,13259.27
31,40,2025-07-23,2025-12-15,145,13675.84
32,39,2025-06-16,2025-09-14,90,4445.53
33,87,2025-04-12,2026-02-13,307,13382.5
34,62,2025-07-26,2025-10-30,96,9252.11
35,60,2025-09-20,2025-12-04,75,1542.29
36,50,2025-01-14,2025-05-04,110,6206.66
37,24,2025-02-11,2025-09-19,220,8319.71
38,5,2025-04-14,2025-10-02,171,11139.17
39,66,2025-10-05,2026-06-24,262,9895.78
40,50,2025-07-20,2026-03-25,248,6129.95
41,20,2025-01-14,2025-05-01,107,3813.44
42,56,2025-07-27,2026-03-18,234,1978.81
43,47,2025-01-05,2025-07-16,192,14609.34
44,64,2025-10-09,2026-06-11,245,2754.47
45,76,2025-07-27,2025-12-26,152,980.4
46,12,2025-09-15,2026-06-12,270,12714.53
47,56,2025-06-16,2025-07-30,44,8709.17
48,18,2025-04-24,2025-06-14,51,2785.45
49,59,2025-11-12,2026-04-22,161,10626.24
50,84,2025-07-24,2025-11-24,123,6456.27
51,97,2025-07-14,2026-06-05,326,9498.8
52,22,2025-08-03,2026-03-03,212,11559.79
53,100,2025-12-14,2026-06-18,186,6724.42
54,35,2025-12-13,2026-04-13,121,9886.64
55,38,2025-08-04,2026-05-17,286,3626.85
56,9,2025-05-20,2025-09-29,132,5481.44
57,82,2025-05-13,2026-03-23,314,8191.26
58,50,2025-03-02,2025-06-16,106,3124.97
59,93,2025-06-07,2026-01-14,221,13040.33
60,19,2025-10-17,2026-07-03,259,665.69
61,64,2025-03-18,2026-02-20,339,1321.94
62,22,2025-08-12,2026-06-04,296,12086.02
63,50,2025-03-25,2026-02-12,324,11696.72
64,67,2025-11-03,2026-10-13,344,10999.4
65,21,2025-12-04,2026-08-16,255,5338.24
66,82,2025-05-19,2026-04-21,337,2328.37
67,30,2025-02-28,2025-05-31,92,2833.33
68,65,2025-06-01,2025-09-10,101,9736.74
69,3,2025-12-10,2026-11-10,335,1634.86
