CContractID,ClientID,DateOfCommencement,DateOfExpiration,Duration,Expense,Click Profit
1,32,2025-03-12,2025-06-09,89,14235.47,2.45
2,96,2025-01-29,2025-04-09,70,6663.85,2.19
3,80,2025-05-25,2025-11-14,173,2444.33,4.34
4,25,2025-12-08,2026-03-07,89,19534.45,1.55
5,39,2025-11-05,2026-06-26,233,12461.74,2.55
6,29,2025-03-20,2026-01-31,317,17902.36,0.66
7,61,2025-04-03,2025-12-03,244,10349.3,3.96
8,74,2025-07-19,2025-09-04,47,15711.23,3.55
9,29,2025-05-11,2026-02-15,280,13393.75,1.27
10,27,2025-11-07,2026-01-20,74,7125.54,0.64
11,69,2025-12-01,2026-11-26,360,5917.88,2.51
12,35,2025-10-16,2026-08-06,294,17147.96,2.08
13,67,2025-07-15,2025-08-18,34,17760.72,1.61
14,3,2025-08-27,2026-08-08,346,9957.59,3.64
15,38,2025-05-03,2025-10-05,155,11411.4,1.17
16,72,2025-04-03,2025-08-04,123,13509.66,2.31
17,35,2025-01-03,2025-06-14,162,9872.68,3.98
18,99,2025-07-29,2026-01-19,174,5911.39,1.06
19,84,2025-12-02,2026-06-21,201,19723.27,2.51
20,64,2025-08-17,2026-03-18,213,2797.17,3.03
21,41,2025-08-18,2025-12-18,122,19523.79,2.32
22,58,2025-02-02,2025-05-21,108,15078.08,3.33
23,72,2025-12-23,2026-10-27,308,5838.69,1.4
24,20,2025-07-15,2026-03-13,241,15460.7,1.92
25,28,2025-08-25,2025-11-15,82,19575.74,0.57
26,95,2025-08-11,2026-01-01,143,16046.12,1.06
27,53,2025-09-05,2025-11-18,74,7395.9,3.6
28,9,2025-11-06,2026-09-02,300,19787.86,1.58
29,74,2025-03-31,2025-05-10,40,2672.24,0.68
30,68,2025-07-04,2026-01-21,201,2066.95,3.24
31,33,2025-03-28,2025-09-07,163,8576.74,0.95
32,2,2025-05-30,2025-08-02,64,19166.41,3.17
33,9,2025-10-11,2026-05-04,205,14302.4,1.26
34,19,2025-09-11,2026-07-29,321,8016.9,3.46
35,44,2025-08-07,2026-06-04,301,18106.06,4.71
36,22,2025-10-29,2026-07-16,260,5693.51,2.89
37,8,2025-06-19,2026-03-06,260,18909.77,3.02
38,47,2025-10-19,2026-03-20,152,14202.52,3.28
39,36,2025-05-19,2026-01-28,254,9116.63,3.05
40,2,2025-01-15,2025-05-13,118,16688.85,2.01
41,60,2025-01-08,2025-10-19,284,4140.24,1.1
42,100,2025-11-06,2026-06-18,224,1692.51,1.55
43,48,2025-09-14,2026-05-23,251,8363.81,2.38
44,86,2025-11-08,2026-04-30,173,13609.88,1.47
45,38,2025-08-26,2025-09-26,31,19438.57,2.68
46,74,2025-08-08,2026-05-08,273,8917.98,4.78
47,50,2025-06-22,2026-05-10,322,5382.72,2.78
48,82,2025-10-03,2026-04-19,198,1364.66,1.61
49,83,2025-07-27,2026-05-07,284,18302.44,0.99
50,67,2025-08-17,2026-07-26,343,18566.06,3.66
51,48,2025-03-07,2026-03-04,362,2371.79,2.72
52,40,2025-10-22,2026-09-28,341,16978.16,1.87
53,81,2025-06-24,2026-05-18,328,12459.2,1.48
54,78,2025-05-15,2026-04-27,347,17675.87,3.53
55,58,2025-03-09,2025-07-17,130,1346.57,2.92
56,62,2025-02-21,2025-08-29,189,10766.32,0.33
57,92,2025-11-25,2026-10-26,335,4065.05,4.96
58,20,2025-06-03,2025-07-10,37,14448.99,0.59
59,79,2025-11-05,2026-05-24,200,8466.34,0.78
60,67,2025-03-10,2026-01-03,299,16390.85,3.74
61,58,2025-11-07,2026-07-07,242,18701.38,3.63
62,24,2025-11-03,2026-09-07,308,16348.03,4.21
63,82,2025-11-08,2026-07-21,255,18024.17,0.39
64,52,2025-10-21,2026-02-23,125,2737.7,2.71
65,38,2025-08-31,2026-07-16,319,10591.19,3.72
66,50,2025-01-04,2025-08-02,210,2957.19,1.44
67,90,2025-06-03,2025-10-23,142,13473.92,2.03
68,35,2025-07-03,2025-08-26,54,15691.57,3.9
69,17,2025-08-21,2025-12-28,129,14075.41,3.88
70,7,2025-02-08,2025-09-22,226,12243.56,1.4
71,64,2025-01-17,2025-05-28,131,6799.35,4.78
72,73,2025-08-17,2025-11-06,81,3690.14,3.07
73,61,2025-08-03,2025-11-01,90,4760.39,4.32
74,86,2025-06-26,2026-05-25,333,17330.19,3.05
75,47,2025-06-06,2026-01-01,209,5292.03,4.66
76,44,2025-02-13,2025-10-17,246,15765.11,3.65
77,78,2025-07-04,2026-05-11,311,7956.99,4.7
78,10,2025-09-18,2026-07-05,290,12534.1,2.96
79,25,2025-12-01,2026-11-06,340,11105.95,3.18
80,47,2025-09-08,2026-06-21,286,16294.29,4.48
81,4,2025-04-04,2026-01-16,287,9982.56,4.91
82,85,2025-02-04,2025-03-16,40,4193.12,3.99
83,97,2025-03-25,2025-09-13,172,17347.01,0.77
84,47,2025-12-30,2026-02-04,36,6085.8,3.35
85,54,2025-07-16,2026-01-18,186,3129.05,3.97
86,88,2025-05-18,2026-05-17,364,6815.51,1.24
87,32,2025-03-31,2025-11-02,216,8416.64,4.52
88,24,2025-03-17,2025-07-28,133,8531.81,3.17
89,88,2025-04-17,2026-02-05,294,14465.74,3.79
90,94,2025-01-30,2025-05-08,98,16428.74,2.02
91,22,2025-02-17,2025-11-27,283,5744.05,1.97
92,94,2025-07-05,2026-02-26,236,19052.01,0.34
93,99,2025-12-02,2026-06-10,190,18317.65,1.18
94,47,2025-05-01,2026-03-09,312,19147.55,1.33
95,84,2025-06-17,2026-04-18,305,17814.61,4.74
96,20,2025-07-05,2025-11-02,120,4339.29,1.44
97,44,2025-01-18,2025-07-04,167,6844.68,4.11
98,47,2025-02-23,2025-11-15,265,16065.02,4.04
99,79,2025-08-02,2026-05-27,298,17968.66,1.7
100,63,2025-10-05,2025-11-21,47,7108.33,3.5
101,79,2025-08-25,2026-03-01,188,5277.11,2.37
102,24,2025-01-25,2025-10-20,268,1068.98,4.86
103,31,2025-10-23,2026-06-02,222,5039.83,3.56
104,71,2025-11-28,2026-10-30,336,10632.8,2.69
105,18,2025-10-24,2026-02-25,124,14539.97,1.7
106,5,2025-10-16,2026-07-03,260,4223.08,0.37
107,9,2025-04-30,2025-11-10,194,14931.99,1.82
108,18,2025-06-18,2025-07-26,38,2661.48,2.49
109,73,2025-08-07,2026-04-30,266,5003.08,0.36
110,19,2025-06-21,2025-08-15,55,12195.79,3.41
111,58,2025-06-24,2026-03-20,269,16255.69,3.18
112,91,2025-12-05,2026-11-06,336,9553.46,2.59
113,28,2025-08-02,2026-02-21,203,12453.42,2.56
114,53,2025-02-17,2025-12-26,312,11620.83,3.36
115,86,2025-04-24,2026-03-31,341,15543.6,3.9
116,13,2025-08-20,2026-04-09,232,16168.26,1.99
117,54,2025-03-10,2025-05-18,69,8635.93,1.77
118,95,2025-07-20,2026-06-25,340,14954.51,1.68
119,12,2025-03-29,2025-10-29,214,18663.21,1.26
120,56,2025-02-25,2025-11-12,260,15802.11,3.67
121,5,2025-06-05,2026-04-14,313,8405.51,2.65
122,33,2025-03-23,2025-04-23,31,17617.99,1.77
123,93,2025-10-06,2026-06-05,242,12702.96,1.52
124,1,2025-07-29,2026-05-19,294,10157.98,2.62
125,16,2025-09-19,2026-04-18,211,4278.94,4.76
126,36,2025-07-17,2026-01-17,184,16864.01,1.75
127,81,2025-01-19,2025-06-07,139,10621.96,1.35
128,47,2025-04-10,2026-03-14,338,7690.49,1.32
129,55,2025-06-15,2026-02-14,244,15386.28,0.94
130,5,2025-05-10,2026-04-14,339,5866.82,0.94
131,12,2025-06-29,2026-03-08,252,13685.87,0.44
132,28,2025-06-21,2026-05-16,329,1788.09,3.05
133,87,2025-06-21,2026-04-29,312,12873.4,3.53
134,89,2025-09-23,2026-03-25,183,4755.0,2.15
135,98,2025-03-10,2025-06-03,85,9983.4,4.53
136,35,2025-09-27,2026-03-11,165,4084.09,4.53
137,37,2025-01-04,2025-05-29,145,6419.04,4.41
138,77,2025-09-14,2026-03-03,170,1543.23,4.23
139,4,2025-02-20,2025-08-07,168,16999.26,1.06
140,78,2025-03-10,2025-06-03,85,5943.13,2.03
141,4,2025-05-12,2026-04-27,350,16471.04,3.29
142,88,2025-12-08,2026-02-04,58,13560.33,2.38
143,73,2025-06-06,2025-08-28,83,15970.22,2.42
144,93,2025-09-02,2026-01-02,122,3196.86,2.79
145,49,2025-12-27,2026-05-07,131,19465.44,2.21
146,46,2025-02-23,2025-07-08,135,6835.81,0.38
147,59,2025-09-05,2026-02-19,167,5156.86,2.41
148,2,2025-01-29,2025-10-13,257,17465.58,2.23
149,34,2025-05-20,2026-03-24,308,6116.22,2.55
150,83,2025-09-21,2026-02-05,137,5465.47,1.61
