ViewClickID,MediumID,OContractID,Views/Clicks,UserID,Timestamp
1,31,121,1,400,2025-03-31
2,38,236,1,446,2025-03-25
3,22,72,1,184,2025-03-29
4,54,91,0,372,2025-03-30
5,13,184,1,202,2025-03-26
6,29,120,1,345,2025-04-07
7,58,54,1,271,2025-03-31
8,14,127,0,274,2025-04-06
9,6,191,0,41,2025-04-07
10,18,119,1,149,2025-03-24
11,36,198,0,380,2025-04-06
12,47,198,1,264,2025-03-25
13,1,71,0,402,2025-03-29
14,1,146,1,132,2025-04-06
15,40,232,0,164,2025-04-03
16,32,47,0,108,2025-04-01
17,57,76,1,370,2025-03-29
18,58,170,0,389,2025-03-26
19,18,79,0,140,2025-03-28
20,22,230,1,292,2025-03-27
21,40,151,0,280,2025-03-30
22,11,131,0,261,2025-04-04
23,9,196,1,348,2025-03-30
24,39,173,0,154,2025-04-05
25,6,30,1,216,2025-04-08
26,16,73,0,354,2025-04-04
27,42,212,0,153,2025-03-28
28,11,118,0,168,2025-04-02
29,10,38,1,210,2025-04-03
30,15,184,1,340,2025-03-29
31,13,100,1,368,2025-04-07
32,8,225,1,91,2025-04-02
33,1,20,0,437,2025-03-25
34,14,38,0,322,2025-04-01
35,37,148,0,409,2025-03-25
36,46,89,1,421,2025-03-24
37,1,181,1,159,2025-03-26
38,11,75,1,13,2025-04-07
39,35,169,0,174,2025-04-02
40,18,233,1,433,2025-03-24
41,13,228,1,423,2025-04-04
42,2,182,0,40,2025-04-03
43,53,71,1,395,2025-04-07
44,31,194,0,282,2025-03-25
45,49,22,1,487,2025-04-04
46,45,171,0,130,2025-03-27
47,15,232,1,243,2025-03-25
48,48,24,0,43,2025-04-07
49,26,18,1,366,2025-04-02
50,22,61,1,455,2025-03-24
51,29,150,0,293,2025-03-31
52,10,106,0,53,2025-03-25
53,49,216,0,437,2025-03-24
54,44,50,0,348,2025-03-25
55,48,18,0,310,2025-03-30
56,16,149,0,57,2025-03-28
57,58,232,0,390,2025-03-27
58,60,86,1,412,2025-04-04
59,42,150,1,400,2025-04-02
60,43,33,1,152,2025-04-08
61,44,238,1,489,2025-03-29
62,1,133,0,195,2025-03-29
63,43,173,1,497,2025-03-31
64,40,37,1,489,2025-04-05
65,32,162,0,347,2025-04-03
66,36,241,1,122,2025-03-26
67,53,207,1,34,2025-04-06
68,36,8,0,380,2025-04-06
69,60,132,0,140,2025-03-25
70,45,50,0,183,2025-04-03
71,25,104,1,491,2025-03-30
72,14,197,0,104,2025-03-24
73,34,19,1,447,2025-04-01
74,17,40,1,27,2025-04-07
75,15,43,1,338,2025-03-29
76,22,68,1,176,2025-03-31
77,5,213,0,300,2025-04-07
78,24,17,0,380,2025-04-04
79,10,175,1,20,2025-03-26
80,55,169,1,267,2025-03-31
81,13,210,1,467,2025-03-31
82,43,186,1,43,2025-03-31
83,15,141,1,206,2025-04-03
84,22,27,0,456,2025-04-08
85,60,172,1,492,2025-04-06
86,2,242,1,127,2025-03-24
87,4,8,0,242,2025-03-27
88,27,249,0,94,2025-03-31
89,11,67,1,217,2025-04-06
90,40,47,1,83,2025-03-28
91,55,20,1,112,2025-04-05
92,12,63,1,1,2025-03-27
93,6,51,1,375,2025-04-06
94,37,56,0,49,2025-04-01
95,22,231,1,343,2025-03-24
96,19,191,1,497,2025-04-04
97,23,86,1,223,2025-04-04
98,19,11,1,11,2025-04-04
99,15,135,1,68,2025-04-03
100,20,246,1,419,2025-04-04
