CampaignID,OContractID,CContractID,Campaign Name,Start Date,End Date,Target Audience,Status
3,87,14,HolidayPromo,2025-01-16,2025-02-03,69076,Completed
4,81,44,SummerSale,2025-01-07,2025-02-27,26602,Completed
6,90,66,BlackFriday,2025-02-01,2025-03-08,71679,Completed
13,107,121,HolidayPromo,2025-02-10,2025-03-14,46079,Completed
23,117,51,EasterSpecial,2025-01-15,2025-02-12,72288,Completed
38,78,105,HolidayPromo,2025-02-17,2025-03-17,28476,Completed
39,20,110,Back2School,2025-01-13,2025-02-12,26240,Completed
67,72,16,Back2School,2025-01-08,2025-03-19,95251,Completed
70,49,34,EasterSpecial,2025-02-05,2025-03-01,94211,Completed
85,110,139,WinterDeal,2025-03-08,2025-03-23,19927,Completed
90,46,30,BlackFriday,2025-01-19,2025-02-11,33692,Completed
94,51,28,BlackFriday,2025-03-01,2025-03-21,50589,Completed
111,97,49,HolidayPromo,2025-01-29,2025-02-16,46819,Completed
116,18,10,Back2School,2025-02-18,2025-03-16,74879,Completed
119,120,2,SummerSale,2025-02-08,2025-03-22,30157,Completed
146,21,145,HolidayPromo,2025-01-02,2025-03-13,48646,Completed
147,28,145,SummerSale,2025-02-26,2025-03-22,15599,Completed
157,10,94,SummerSale,2025-02-03,2025-03-06,57390,Completed
164,100,6,WinterDeal,2025-01-03,2025-01-25,45844,Completed
185,82,95,EasterSpecial,2025-01-16,2025-03-04,45581,Completed
201,10,229,AutumnFest_201,2025-04-04,2025-07-26,77927,Active
202,235,199,CyberMonday_202,2025-04-02,2025-06-21,68835,Active
203,44,35,SpringSplash_203,2025-03-25,2025-05-07,23091,Active
204,77,84,Back2School_204,2025-04-06,2025-07-18,94969,Active
205,187,38,SummerSale_205,2025-04-07,2025-06-13,44252,Active
206,101,38,Back2School_206,2025-03-27,2025-06-08,90749,Active
207,107,131,HolidayPromo_207,2025-04-05,2025-06-16,47644,Active
208,133,106,Back2School_208,2025-03-24,2025-07-14,58056,Active
209,230,177,BlackFriday_209,2025-04-04,2025-05-05,39325,Active
210,94,28,BlackFriday_210,2025-04-05,2025-07-13,33898,Active
211,190,11,SpringSplash_211,2025-04-03,2025-06-20,87429,Active
212,81,18,Back2School_212,2025-04-04,2025-07-23,27074,Active
213,26,55,WinterWonder_213,2025-03-26,2025-06-19,78463,Active
214,195,107,BlackFriday_214,2025-04-05,2025-07-08,60223,Active
215,11,11,CyberMonday_215,2025-04-03,2025-05-26,36662,Active
216,38,10,AutumnFest_216,2025-04-03,2025-06-26,51988,Active
217,71,6,SummerSale_217,2025-04-01,2025-07-27,29912,Active
218,110,208,EasterSpecial_218,2025-04-02,2025-06-05,32403,Active
219,132,143,Back2School_219,2025-04-05,2025-07-21,42721,Active
220,179,92,AutumnFest_220,2025-04-07,2025-05-11,36277,Active
221,83,166,HolidayPromo_221,2025-04-08,2025-05-29,97158,Active
222,138,237,EasterSpecial_222,2025-03-31,2025-06-15,55899,Active
223,161,182,AutumnFest_223,2025-03-31,2025-07-25,77512,Active
224,205,73,BlackFriday_224,2025-04-07,2025-05-20,23382,Active
225,148,58,SpringSplash_225,2025-03-24,2025-06-06,50661,Active
226,200,76,SpringSplash_226,2025-03-29,2025-07-04,82942,Active
227,69,114,BlackFriday_227,2025-04-01,2025-05-02,26863,Active
228,201,140,CyberMonday_228,2025-03-28,2025-07-18,99206,Active
229,35,104,SpringSplash_229,2025-04-02,2025-07-23,91628,Active
230,199,84,Back2School_230,2025-04-05,2025-05-17,91007,Active
231,8,180,CyberMonday_231,2025-03-27,2025-07-03,58485,Active
232,77,232,Back2School_232,2025-03-25,2025-05-14,87857,Active
233,199,30,WinterWonder_233,2025-03-30,2025-05-22,50653,Active
234,191,170,BlackFriday_234,2025-04-02,2025-07-16,40269,Active
235,180,21,Back2School_235,2025-04-03,2025-07-09,38677,Active
236,77,56,SpringSplash_236,2025-03-26,2025-06-15,31616,Active
237,137,240,EasterSpecial_237,2025-03-30,2025-06-20,99555,Active
238,247,164,AutumnFest_238,2025-03-24,2025-06-23,31402,Active
239,107,160,SpringSplash_239,2025-04-06,2025-07-19,77361,Active
240,16,178,BlackFriday_240,2025-03-29,2025-07-24,72558,Active
241,99,34,HolidayPromo_241,2025-04-08,2025-06-28,55253,Active
242,19,54,Back2School_242,2025-03-24,2025-07-21,53316,Active
243,84,74,BlackFriday_243,2025-03-31,2025-06-24,99348,Active
